Year,Industry,Sector,Value,Country,Metric
2024,Alcoholic Beverages,Beer & Cider,1655.75494845864,Country_Argentina,Volume M Liters
2024,Alcoholic Beverages,Spirits,218.30257898235055,Country_Argentina,Volume M Liters
2024,Alcoholic Beverages,Wines,815.9054516571833,Country_Argentina,Volume M Liters
2024,Food,Bakery & Cereals,-,Country_Argentina,Volume M Liters
2024,Food,Beans & Pulses,-,Country_Argentina,Volume M Liters
2024,Food,Confectionery,-,Country_Argentina,Volume M Liters
2024,Food,Dairy & Soy Food,1079.13357344892,Country_Argentina,Volume M Liters
2024,Food,Fish & Seafood,-,Country_Argentina,Volume M Liters
2024,Food,Ice Cream,-,Country_Argentina,Volume M Liters
2024,Food,Meat,-,Country_Argentina,Volume M Liters
2024,Food,Meat Substitutes,-,Country_Argentina,Volume M Liters
2024,Food,Oils and Fats,-,Country_Argentina,Volume M Liters
2024,Food,Other Canned food,-,Country_Argentina,Volume M Liters
2024,Food,Other Dried food,-,Country_Argentina,Volume M Liters
2024,Food,Other Frozen Foods,-,Country_Argentina,Volume M Liters
2024,Food,Pasta & Noodles,-,Country_Argentina,Volume M Liters
2024,Food,Prepared Meals,-,Country_Argentina,Volume M Liters
2024,Food,Savory & Deli Foods,-,Country_Argentina,Volume M Liters
2024,Food,Savory Snacks,-,Country_Argentina,Volume M Liters
2024,Food,"Seasonings, Dressings & Sauces",-,Country_Argentina,Volume M Liters
2024,Food,Soups,-,Country_Argentina,Volume M Liters
2024,Food,Syrups & Spreads,-,Country_Argentina,Volume M Liters
2024,Fresh Food,Fruits & Vegetables,-,Country_Argentina,Volume M Liters
2024,Household Products,Household Products,286.8764328172121,Country_Argentina,Volume M Liters
2024,Non-Alcoholic Beverages,Hot Drinks,6768.1483218635885,Country_Argentina,Volume M Liters
2024,Non-Alcoholic Beverages,Soft Drinks,12521.09534057038,Country_Argentina,Volume M Liters
2025,Alcoholic Beverages,Beer & Cider,1685.971400003002,Country_Argentina,Volume M Liters
2025,Alcoholic Beverages,Spirits,226.4061027134082,Country_Argentina,Volume M Liters
2025,Alcoholic Beverages,Wines,812.4723593514166,Country_Argentina,Volume M Liters
2025,Food,Bakery & Cereals,-,Country_Argentina,Volume M Liters
2025,Food,Beans & Pulses,-,Country_Argentina,Volume M Liters
2025,Food,Confectionery,-,Country_Argentina,Volume M Liters
2025,Food,Dairy & Soy Food,1084.4874174137217,Country_Argentina,Volume M Liters
2025,Food,Fish & Seafood,-,Country_Argentina,Volume M Liters
2025,Food,Ice Cream,-,Country_Argentina,Volume M Liters
2025,Food,Meat,-,Country_Argentina,Volume M Liters
2025,Food,Meat Substitutes,-,Country_Argentina,Volume M Liters
2025,Food,Oils and Fats,-,Country_Argentina,Volume M Liters
2025,Food,Other Canned food,-,Country_Argentina,Volume M Liters
2025,Food,Other Dried food,-,Country_Argentina,Volume M Liters
2025,Food,Other Frozen Foods,-,Country_Argentina,Volume M Liters
2025,Food,Pasta & Noodles,-,Country_Argentina,Volume M Liters
2025,Food,Prepared Meals,-,Country_Argentina,Volume M Liters
2025,Food,Savory & Deli Foods,-,Country_Argentina,Volume M Liters
2025,Food,Savory Snacks,-,Country_Argentina,Volume M Liters
2025,Food,"Seasonings, Dressings & Sauces",-,Country_Argentina,Volume M Liters
2025,Food,Soups,-,Country_Argentina,Volume M Liters
2025,Food,Syrups & Spreads,-,Country_Argentina,Volume M Liters
2025,Fresh Food,Fruits & Vegetables,-,Country_Argentina,Volume M Liters
2025,Household Products,Household Products,296.9773758459958,Country_Argentina,Volume M Liters
2025,Non-Alcoholic Beverages,Hot Drinks,7644.194857470364,Country_Argentina,Volume M Liters
2025,Non-Alcoholic Beverages,Soft Drinks,12718.339832505006,Country_Argentina,Volume M Liters
2026,Alcoholic Beverages,Beer & Cider,1705.2357999619996,Country_Argentina,Volume M Liters
2026,Alcoholic Beverages,Spirits,233.48667442384513,Country_Argentina,Volume M Liters
2026,Alcoholic Beverages,Wines,815.4035093711549,Country_Argentina,Volume M Liters
2026,Food,Bakery & Cereals,-,Country_Argentina,Volume M Liters
2026,Food,Beans & Pulses,-,Country_Argentina,Volume M Liters
2026,Food,Confectionery,-,Country_Argentina,Volume M Liters
2026,Food,Dairy & Soy Food,1091.0230409348392,Country_Argentina,Volume M Liters
2026,Food,Fish & Seafood,-,Country_Argentina,Volume M Liters
2026,Food,Ice Cream,-,Country_Argentina,Volume M Liters
2026,Food,Meat,-,Country_Argentina,Volume M Liters
2026,Food,Meat Substitutes,-,Country_Argentina,Volume M Liters
2026,Food,Oils and Fats,-,Country_Argentina,Volume M Liters
2026,Food,Other Canned food,-,Country_Argentina,Volume M Liters
2026,Food,Other Dried food,-,Country_Argentina,Volume M Liters
2026,Food,Other Frozen Foods,-,Country_Argentina,Volume M Liters
2026,Food,Pasta & Noodles,-,Country_Argentina,Volume M Liters
2026,Food,Prepared Meals,-,Country_Argentina,Volume M Liters
2026,Food,Savory & Deli Foods,-,Country_Argentina,Volume M Liters
2026,Food,Savory Snacks,-,Country_Argentina,Volume M Liters
2026,Food,"Seasonings, Dressings & Sauces",-,Country_Argentina,Volume M Liters
2026,Food,Soups,-,Country_Argentina,Volume M Liters
2026,Food,Syrups & Spreads,-,Country_Argentina,Volume M Liters
2026,Fresh Food,Fruits & Vegetables,-,Country_Argentina,Volume M Liters
2026,Household Products,Household Products,309.2197175332145,Country_Argentina,Volume M Liters
2026,Non-Alcoholic Beverages,Hot Drinks,8663.281838954275,Country_Argentina,Volume M Liters
2026,Non-Alcoholic Beverages,Soft Drinks,12884.632103775006,Country_Argentina,Volume M Liters
2027,Alcoholic Beverages,Beer & Cider,1724.8233000060004,Country_Argentina,Volume M Liters
2027,Alcoholic Beverages,Spirits,239.80142667559932,Country_Argentina,Volume M Liters
2027,Alcoholic Beverages,Wines,820.9649265549067,Country_Argentina,Volume M Liters
2027,Food,Bakery & Cereals,-,Country_Argentina,Volume M Liters
2027,Food,Beans & Pulses,-,Country_Argentina,Volume M Liters
2027,Food,Confectionery,-,Country_Argentina,Volume M Liters
2027,Food,Dairy & Soy Food,1094.8647810338725,Country_Argentina,Volume M Liters
2027,Food,Fish & Seafood,-,Country_Argentina,Volume M Liters
2027,Food,Ice Cream,-,Country_Argentina,Volume M Liters
2027,Food,Meat,-,Country_Argentina,Volume M Liters
2027,Food,Meat Substitutes,-,Country_Argentina,Volume M Liters
2027,Food,Oils and Fats,-,Country_Argentina,Volume M Liters
2027,Food,Other Canned food,-,Country_Argentina,Volume M Liters
2027,Food,Other Dried food,-,Country_Argentina,Volume M Liters
2027,Food,Other Frozen Foods,-,Country_Argentina,Volume M Liters
2027,Food,Pasta & Noodles,-,Country_Argentina,Volume M Liters
2027,Food,Prepared Meals,-,Country_Argentina,Volume M Liters
2027,Food,Savory & Deli Foods,-,Country_Argentina,Volume M Liters
2027,Food,Savory Snacks,-,Country_Argentina,Volume M Liters
2027,Food,"Seasonings, Dressings & Sauces",-,Country_Argentina,Volume M Liters
2027,Food,Soups,-,Country_Argentina,Volume M Liters
2027,Food,Syrups & Spreads,-,Country_Argentina,Volume M Liters
2027,Fresh Food,Fruits & Vegetables,-,Country_Argentina,Volume M Liters
2027,Household Products,Household Products,316.6618608168031,Country_Argentina,Volume M Liters
2027,Non-Alcoholic Beverages,Hot Drinks,9518.874218126324,Country_Argentina,Volume M Liters
2027,Non-Alcoholic Beverages,Soft Drinks,13058.154215648,Country_Argentina,Volume M Liters
2028,Alcoholic Beverages,Beer & Cider,1738.1670000179988,Country_Argentina,Volume M Liters
2028,Alcoholic Beverages,Spirits,246.7055591179898,Country_Argentina,Volume M Liters
2028,Alcoholic Beverages,Wines,829.1860219931144,Country_Argentina,Volume M Liters
2028,Food,Bakery & Cereals,-,Country_Argentina,Volume M Liters
2028,Food,Beans & Pulses,-,Country_Argentina,Volume M Liters
2028,Food,Confectionery,-,Country_Argentina,Volume M Liters
2028,Food,Dairy & Soy Food,1098.165112022697,Country_Argentina,Volume M Liters
2028,Food,Fish & Seafood,-,Country_Argentina,Volume M Liters
2028,Food,Ice Cream,-,Country_Argentina,Volume M Liters
2028,Food,Meat,-,Country_Argentina,Volume M Liters
2028,Food,Meat Substitutes,-,Country_Argentina,Volume M Liters
2028,Food,Oils and Fats,-,Country_Argentina,Volume M Liters
2028,Food,Other Canned food,-,Country_Argentina,Volume M Liters
2028,Food,Other Dried food,-,Country_Argentina,Volume M Liters
2028,Food,Other Frozen Foods,-,Country_Argentina,Volume M Liters
2028,Food,Pasta & Noodles,-,Country_Argentina,Volume M Liters
2028,Food,Prepared Meals,-,Country_Argentina,Volume M Liters
2028,Food,Savory & Deli Foods,-,Country_Argentina,Volume M Liters
2028,Food,Savory Snacks,-,Country_Argentina,Volume M Liters
2028,Food,"Seasonings, Dressings & Sauces",-,Country_Argentina,Volume M Liters
2028,Food,Soups,-,Country_Argentina,Volume M Liters
2028,Food,Syrups & Spreads,-,Country_Argentina,Volume M Liters
2028,Fresh Food,Fruits & Vegetables,-,Country_Argentina,Volume M Liters
2028,Household Products,Household Products,320.83749225316603,Country_Argentina,Volume M Liters
2028,Non-Alcoholic Beverages,Hot Drinks,10268.570199121463,Country_Argentina,Volume M Liters
2028,Non-Alcoholic Beverages,Soft Drinks,13216.753554986006,Country_Argentina,Volume M Liters
2024,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
2024,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2024,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2024,Food,Bakery & Cereals,2493.436900238154,Country_Argentina,Volume M Kilograms
2024,Food,Beans & Pulses,19.23301024209543,Country_Argentina,Volume M Kilograms
2024,Food,Confectionery,122.99984780374173,Country_Argentina,Volume M Kilograms
2024,Food,Dairy & Soy Food,1564.1959716375363,Country_Argentina,Volume M Kilograms
2024,Food,Fish & Seafood,209.79249687510108,Country_Argentina,Volume M Kilograms
2024,Food,Ice Cream,73.17929386363942,Country_Argentina,Volume M Kilograms
2024,Food,Meat,2719.964289218548,Country_Argentina,Volume M Kilograms
2024,Food,Meat Substitutes,2.03121651021707,Country_Argentina,Volume M Kilograms
2024,Food,Oils and Fats,571.4818187380383,Country_Argentina,Volume M Kilograms
