Year,Country,Industry,Sector,Measure,Value
2024.0,,Alcoholic Beverages,Beer & Cider,,1655.75494845864
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,386.01000000000005
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,15426.500119995439
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,923.24
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,2627.640360000001
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,219.66000000000014
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,575.66
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,152.87053999999998
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,588.4473645412012
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,230.44660189299998
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,10623.997029000002
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,355.55999999999995
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,1526.06517465
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2024.0,,Alcoholic Beverages,Beer & Cider,,107.83978701999999
2024.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,1685.971400003002
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,402.4381999499999
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,15655.168249999999
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,902.3376541000001
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,2652.8223409999996
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,224.40469998999998
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,590.1017999999997
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,154.166857
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,602.5643140010002
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,235.17071799999994
2025.0,,Alcoholic Beverages,Beer & Cider,,-
2025.0,,Alcoholic Beverages,Beer & Cider,,10752.332429998998
2025.0,,Alcoholic Beverages,Beer & Cider,,-
